,Title,Company,Location,Summary
0,Software Developer,Hansen Technologies,"Remote in Auckland City, Auckland","Designing, Coding and testing software as part of the Agile team.
This role will be part of our Peace team that provides enterprise CRM solutions to the…"
1,Multiple Software Developers,Visa,"Auckland City, Auckland","Experience building solutions using any software development framework.
Participate in all aspects of agile software development, including design,…"
2,Software Developer,Rolls-Royce,"Wellington City, Wellington",Can demonstrate a strong creative drive and understanding of what is required to engage and excite a user community.
3,Senior Software Developer,ANZ Banking Group,"Auckland City, Auckland","Spaces, improving software quality, delivering software faster and more reliably.
You will be spending your day working alongside other developers, testers, BA…"
4,STAR (Student Training and Rotation) Program Intern (VT/STAR...,SAP,Auckland City 1010,"Gain experience relating to the various positions and responsibilities required to release software.
Welcome to SAP’s Student Training & Rotation (STAR) Program…"
5,Software Developer,Fidelity Life,"Auckland City, Auckland",You'll be an experienced developer and have proven experience in collaborating in an Agile cross-functional team with a strong personal focus on quality and…
6,Application Developer,Connetics,Canterbury,"Good analysis skills able to take user requirements and translate to software solutions.
Extensive experience in full stack (frontend and backend) software…"
7,Software Engineer- API Developer,Westpac,"Remote in Auckland City, Auckland","WFH flexibility and a range of banking benefits.
Permanent, Full Time, Akl / Welly, or Remote within NZ.
We are looking for a Software Engineer with both API…"
8,Front End Developer - Expressions of Interest,AKQA,"Auckland City, Auckland+1 location","Implement high quality software solutions.
Our front end developers are accountable for developing web and mobile solutions for AKQA's world-class clients that…"
9,2022 Internships,FNZ,"Wellington City, Wellington","Developers at FNZ are all-rounders who design wealth management platforms, write complex financial business logic and create slick web applications."
10,Software Engineer - Financial Crime,ASB Bank,"Auckland City, Auckland","Good experience as a backend developer with REST API / Open API / Microservices.
Sanctions squad implement, configure, maintain, and support the applications…"
11,SAP S4 Developer,Deloitte,"Auckland City, Auckland+2 locations",".We support flexible working and believe it is critical to increasing engagement, optimizing resources, supporting work-life balance and employee well being."
12,Software Developer,Presto Resourcing Options,"Remote in Auckland City, Auckland","Experience of Agile software development practices.
Ability to design, code, test and debug new software utilizing technologies for the project assigned."
13,Software Engineer - Multiple roles for all levels,ClearPoint NZ,"Remote in Auckland City, Auckland","ClearPoint is on the look out for a range of Engineers at all levels, from intermediates - hungry for development, through to established Leads and Principals,…"
14,Software Developer,LMAX Group,"Auckland City, Auckland","The automated test suite gives our developers confidence to make significant changes.
Lot of automated testing, automated deployment and continuous integration."
15,Software Developer,Hansen Technologies,"Remote in Auckland City, Auckland","Designing, Coding and testing software as part of the Agile team.
This role will be part of our Peace team that provides enterprise CRM solutions to the…"
16,Multiple Software Developers,Visa,"Auckland City, Auckland","Experience building solutions using any software development framework.
Participate in all aspects of agile software development, including design,…"
17,Software Developer,Rolls-Royce,"Wellington City, Wellington",Can demonstrate a strong creative drive and understanding of what is required to engage and excite a user community.
18,Senior Software Developer,ANZ Banking Group,"Auckland City, Auckland","Spaces, improving software quality, delivering software faster and more reliably.
You will be spending your day working alongside other developers, testers, BA…"
19,STAR (Student Training and Rotation) Program Intern (VT/STAR...,SAP,Auckland City 1010,"Gain experience relating to the various positions and responsibilities required to release software.
Welcome to SAP’s Student Training & Rotation (STAR) Program…"
20,Software Developer,Fidelity Life,"Auckland City, Auckland",You'll be an experienced developer and have proven experience in collaborating in an Agile cross-functional team with a strong personal focus on quality and…
21,Application Developer,Connetics,Canterbury,"Good analysis skills able to take user requirements and translate to software solutions.
Extensive experience in full stack (frontend and backend) software…"
22,Software Engineer- API Developer,Westpac,"Remote in Auckland City, Auckland","WFH flexibility and a range of banking benefits.
Permanent, Full Time, Akl / Welly, or Remote within NZ.
We are looking for a Software Engineer with both API…"
23,Front End Developer - Expressions of Interest,AKQA,"Auckland City, Auckland+1 location","Implement high quality software solutions.
Our front end developers are accountable for developing web and mobile solutions for AKQA's world-class clients that…"
24,2022 Internships,FNZ,"Wellington City, Wellington","Developers at FNZ are all-rounders who design wealth management platforms, write complex financial business logic and create slick web applications."
25,Software Engineer - Financial Crime,ASB Bank,"Auckland City, Auckland","Good experience as a backend developer with REST API / Open API / Microservices.
Sanctions squad implement, configure, maintain, and support the applications…"
26,SAP S4 Developer,Deloitte,"Auckland City, Auckland+2 locations",".We support flexible working and believe it is critical to increasing engagement, optimizing resources, supporting work-life balance and employee well being."
27,Software Developer,Presto Resourcing Options,"Remote in Auckland City, Auckland","Experience of Agile software development practices.
Ability to design, code, test and debug new software utilizing technologies for the project assigned."
28,Software Engineer - Multiple roles for all levels,ClearPoint NZ,"Remote in Auckland City, Auckland","ClearPoint is on the look out for a range of Engineers at all levels, from intermediates - hungry for development, through to established Leads and Principals,…"
29,Software Developer,LMAX Group,"Auckland City, Auckland","The automated test suite gives our developers confidence to make significant changes.
Lot of automated testing, automated deployment and continuous integration."
30,Software Developer,Hansen Technologies,"Remote in Auckland City, Auckland","Designing, Coding and testing software as part of the Agile team.
This role will be part of our Peace team that provides enterprise CRM solutions to the…"
31,Multiple Software Developers,Visa,"Auckland City, Auckland","Experience building solutions using any software development framework.
Participate in all aspects of agile software development, including design,…"
32,Software Developer,Rolls-Royce,"Wellington City, Wellington",Can demonstrate a strong creative drive and understanding of what is required to engage and excite a user community.
33,Senior Software Developer,ANZ Banking Group,"Auckland City, Auckland","Spaces, improving software quality, delivering software faster and more reliably.
You will be spending your day working alongside other developers, testers, BA…"
34,STAR (Student Training and Rotation) Program Intern (VT/STAR...,SAP,Auckland City 1010,"Gain experience relating to the various positions and responsibilities required to release software.
Welcome to SAP’s Student Training & Rotation (STAR) Program…"
35,Software Developer,Fidelity Life,"Auckland City, Auckland",You'll be an experienced developer and have proven experience in collaborating in an Agile cross-functional team with a strong personal focus on quality and…
36,Application Developer,Connetics,Canterbury,"Good analysis skills able to take user requirements and translate to software solutions.
Extensive experience in full stack (frontend and backend) software…"
37,Software Engineer- API Developer,Westpac,"Remote in Auckland City, Auckland","WFH flexibility and a range of banking benefits.
Permanent, Full Time, Akl / Welly, or Remote within NZ.
We are looking for a Software Engineer with both API…"
38,Front End Developer - Expressions of Interest,AKQA,"Auckland City, Auckland+1 location","Implement high quality software solutions.
Our front end developers are accountable for developing web and mobile solutions for AKQA's world-class clients that…"
39,2022 Internships,FNZ,"Wellington City, Wellington","Developers at FNZ are all-rounders who design wealth management platforms, write complex financial business logic and create slick web applications."
40,Software Engineer - Financial Crime,ASB Bank,"Auckland City, Auckland","Good experience as a backend developer with REST API / Open API / Microservices.
Sanctions squad implement, configure, maintain, and support the applications…"
41,SAP S4 Developer,Deloitte,"Auckland City, Auckland+2 locations",".We support flexible working and believe it is critical to increasing engagement, optimizing resources, supporting work-life balance and employee well being."
42,Software Developer,Presto Resourcing Options,"Remote in Auckland City, Auckland","Experience of Agile software development practices.
Ability to design, code, test and debug new software utilizing technologies for the project assigned."
43,Software Engineer - Multiple roles for all levels,ClearPoint NZ,"Remote in Auckland City, Auckland","ClearPoint is on the look out for a range of Engineers at all levels, from intermediates - hungry for development, through to established Leads and Principals,…"
44,Software Developer,LMAX Group,"Auckland City, Auckland","The automated test suite gives our developers confidence to make significant changes.
Lot of automated testing, automated deployment and continuous integration."
45,Software Developer,Hansen Technologies,"Remote in Auckland City, Auckland","Designing, Coding and testing software as part of the Agile team.
This role will be part of our Peace team that provides enterprise CRM solutions to the…"
46,Multiple Software Developers,Visa,"Auckland City, Auckland","Experience building solutions using any software development framework.
Participate in all aspects of agile software development, including design,…"
47,Software Developer,Rolls-Royce,"Wellington City, Wellington",Can demonstrate a strong creative drive and understanding of what is required to engage and excite a user community.
48,Senior Software Developer,ANZ Banking Group,"Auckland City, Auckland","Spaces, improving software quality, delivering software faster and more reliably.
You will be spending your day working alongside other developers, testers, BA…"
49,STAR (Student Training and Rotation) Program Intern (VT/STAR...,SAP,Auckland City 1010,"Gain experience relating to the various positions and responsibilities required to release software.
Welcome to SAP’s Student Training & Rotation (STAR) Program…"
50,Software Developer,Fidelity Life,"Auckland City, Auckland",You'll be an experienced developer and have proven experience in collaborating in an Agile cross-functional team with a strong personal focus on quality and…
51,Application Developer,Connetics,Canterbury,"Good analysis skills able to take user requirements and translate to software solutions.
Extensive experience in full stack (frontend and backend) software…"
52,Software Engineer- API Developer,Westpac,"Remote in Auckland City, Auckland","WFH flexibility and a range of banking benefits.
Permanent, Full Time, Akl / Welly, or Remote within NZ.
We are looking for a Software Engineer with both API…"
53,Front End Developer - Expressions of Interest,AKQA,"Auckland City, Auckland+1 location","Implement high quality software solutions.
Our front end developers are accountable for developing web and mobile solutions for AKQA's world-class clients that…"
54,2022 Internships,FNZ,"Wellington City, Wellington","Developers at FNZ are all-rounders who design wealth management platforms, write complex financial business logic and create slick web applications."
55,Software Engineer - Financial Crime,ASB Bank,"Auckland City, Auckland","Good experience as a backend developer with REST API / Open API / Microservices.
Sanctions squad implement, configure, maintain, and support the applications…"
56,SAP S4 Developer,Deloitte,"Auckland City, Auckland+2 locations",".We support flexible working and believe it is critical to increasing engagement, optimizing resources, supporting work-life balance and employee well being."
57,Software Developer,Presto Resourcing Options,"Remote in Auckland City, Auckland","Experience of Agile software development practices.
Ability to design, code, test and debug new software utilizing technologies for the project assigned."
58,Software Engineer - Multiple roles for all levels,ClearPoint NZ,"Remote in Auckland City, Auckland","ClearPoint is on the look out for a range of Engineers at all levels, from intermediates - hungry for development, through to established Leads and Principals,…"
59,Software Developer,LMAX Group,"Auckland City, Auckland","The automated test suite gives our developers confidence to make significant changes.
Lot of automated testing, automated deployment and continuous integration."
